,text,emotion,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
727,ku semenjak gojek mahal ku langgan sm pinda,3,,,,,,,,,,
728,oh iya takut pulang sampe rumah sen gojekgrab tolong mas,0,,,,,,,,,,
729,benci ayah mabuk oceh ancam salah usir rumah,4,,,,,,,,,,
730,layan nga keruan kl order brg toped pakai gosend,0,,,,,,,,,,
731,milik salah halhal salah sopan malu orang temu orang,5,,,,,,,,,,
732,jalan liat kendara motor jatoh gojek nganter bilang henti sebentar ya mbak ba,5,,,,,,,,,,
733,temu teman bohong hasil hubung rugi orang,4,,,,,,,,,,
734,reservasi smswa delivery order gofood app gojek belut belutgoreng belutelek belutjogja,0,,,,,,,,,,
735,gelap sosok nyata bentuk bayang,1,,,,,,,,,,
736,keliling sebar berita suka orang uang,4,,,,,,,,,,
737,perk sukma gojek username panggil mba inisiatif ngechat cowo ya,3,,,,,,,,,,
738,pakai gojek fiiik lapak doi kali ya cepet cepet huhuhuhu,0,,,,,,,,,,
739,minta akomodasi kampus tolak kamar alokasi siswa asal rucher asal keluarga pengaruh,4,,,,,,,,,,
740,kunjung rumah sakit c anastesi gugur harap,1,,,,,,,,,,
741,baca cerita surat kabar tukang daging laku hewan buruk jijik,4,,,,,,,,,,
742,gojek ama gocar dibubarin toko aksesoris mobil jual putar musik mobil cari,5,,,,,,,,,,
743,gojeksaya ordersumpah parahbalikin go pay gwgw hapus uninstall ni aplikasi,2,,,,,,,,,,
744,kali temu orang suka,4,,,,,,,,,,
745,musim semi es cair colek es cabang coba pecah cabang lewat jatuh udara tutup kepala,1,,,,,,,,,,
746,gojek mahal online motor taxi dsini pakai gopay bikin,3,,,,,,,,,,
747,pulang rumah minggu temu pakai selimut curi,2,,,,,,,,,,
748,pildun liga gojek kali mak,0,,,,,,,,,,
749,kaka gojek cakep disamain,4,,,,,,,,,,
750,serang fisik leceh seksual tahun asa pergi utuh hidup hasil takut,1,,,,,,,,,,
751,jalan tumpu kotor jalan jalan daging angsa,4,,,,,,,,,,
752,tolong gojek jenis transportasi bawa ribet idup lu malenn,2,,,,,,,,,,
753,periode sukses puas temu tugas putus harap,0,,,,,,,,,,
754,iyaa rin gojek ae ntar,0,,,,,,,,,,
755,nih bikin zonk promo gojek rb st mana teteh bahagia order st pocin,2,,,,,,,,,,
756,malam curi mobil takut pergi,1,,,,,,,,,,
757,duduk mobil belah pria masturbasi,1,,,,,,,,,,
758,baik tengkyuu gojek,0,,,,,,,,,,
759,abang gojek tuh ngerem dadak ngegas dadak,5,,,,,,,,,,
760,abis telepon cs gojek jakarta terima tangan proses kembali gopay ess,2,,,,,,,,,,
761,jam pagi gojek ribu jam ribuluar biasaaaaaaaa,5,,,,,,,,,,
762,main ski selancar gelombang arus kuat pisah ski dua hanyut perlahan cepat pergi laut arah lalu bawa langsung karang hiu terusmenerus tangkap bantu,1,,,,,,,,,,
763,eh sumpah ya kemarin mampir milih makan seafood gojek gu,0,,,,,,,,,,
764,tindak sesuai janji,5,,,,,,,,,,
765,meat lover langsung tekan bonceng abang gojek pala pening,2,,,,,,,,,,
766,mimpi gajah afrika,1,,,,,,,,,,
767,mending naek gojek unn pagi kreta penuh,2,,,,,,,,,,
768,salah bodoh kasih percaya kerja eh maling kasi ken kerja,2,,,,,,,,,,
769,jual oli shell harga rp dapat produk shopee,0,,,,,,,,,,
770,tonton film keras,4,,,,,,,,,,
771,boneka suruh gojek deh,3,,,,,,,,,,
772,terima universitas sofia,0,,,,,,,,,,
773,kapal nelayan lari cuaca keras laut buka,1,,,,,,,,,,
774,orangorang kesah dapat,2,,,,,,,,,,
775,nunggu abang gojek dateng cerita dikit judul lagu jeket ajaib,0,,,,,,,,,,
776,gojek bayar,0,,,,,,,,,,
777,jijik guru wanita omel mengolokolok ganggu temanteman sekolah kali kelas dengan,4,,,,,,,,,,
778,ayah sakit parah tinggal rumah sakit alami asa keri hilang,1,,,,,,,,,,
779,orang lapar ethiopia tv sedih derita,4,,,,,,,,,,
780,yamaha xmax gojek warga indonesia elit,5,,,,,,,,,,
781,ya allah ken marah gojek pas ngelewatin rel nyampe stasiun kereta pergi nunggu jam hngggg,2,,,,,,,,,,
782,sahabat gadis berpurapura cinta kasih sayang tidur dengan,5,,,,,,,,,,
783,notif dapet voucher gojek pas cek kosong yaa,5,,,,,,,,,,
784,sekolah buruk lari jarak temanteman kelas tertawa alas,5,,,,,,,,,,
785,total ongkos rb berangkat rb pulang rb segitu pakai gopay pp maksimal rb terima kasi,0,,,,,,,,,,
786,abang gojek mvp kala laper malem,0,,,,,,,,,,
787,pagi mamak bikin heboh sen gojek dateng gojek tigatiganya nunggu,5,,,,,,,,,,
788,pas liat harga gojek kantor ribu instead ribu pikir,5,,,,,,,,,,
789,ya motor lokasi atm nya luar kompleks mending gojek,0,,,,,,,,,,
790,tampil gojek bagus,0,,,,,,,,,,
791,takut,1,,,,,,,,,,
792,selamat siang member gojek sandi halim tolong cut gojek,0,,,,,,,,,,
793,suka enak sen grabgojek pakai voucher promo ya yak tunjang irit anak kos,3,,,,,,,,,,
794,film adegan tikus luncur tidur tinggal jejak darah masuk mulut salah aktor,4,,,,,,,,,,
795,takut ayah jatuh sakit derita sakit,1,,,,,,,,,,
796,tulis surat cinta teman kelas lelucon sayang jatuh tangan salah hadap konsekuensi,5,,,,,,,,,,
797,pacar ae kang gojek,4,,,,,,,,,,
798,gojek jurus ya,0,,,,,,,,,,
799,mesen gojek dapet driver nya ibuibu sedih banget nya ganti bawa gabisa bawa motor maaf ya,3,,,,,,,,,,
800,gojek nggak sengaja cancle maaf pakk,3,,,,,,,,,,
801,selagi skema bgitu main pinggir bang,5,,,,,,,,,,
802,iya kang gojek ku sayang,0,,,,,,,,,,
803,mind waiting mana tempat nunggu nunggu gojek dpn feb mah nyambung,4,,,,,,,,,,
804,rampok masuk malam,1,,,,,,,,,,
805,hi barusan terima telepon usaha tipu nama gojek,1,,,,,,,,,,
806,rute gojek rumahst pocin stkaret mayestik mayestikgambir gambirst juanda masker helm,1,,,,,,,,,,
807,pesta anakanak cerita kisahkisah berontak gadisgadis,4,,,,,,,,,,
808,ruang makan universitas meja belah profesor salah gabung tolak sikeras tatap pindah meja,5,,,,,,,,,,
809,viral grup driver gojek video lucu ngakak aksi konyol driver ojek grab masuk tol youtube,0,,,,,,,,,,
810,bantu polisi tida mangkal pinggir jalan jaga tertib lalin,0,,,,,,,,,,
811,sen gojek posisi nya ujan deres bat tuh pick nunggu ka dek,3,,,,,,,,,,
812,hidup gojek gimanaaaaaa,1,,,,,,,,,,
813,jauuuh,3,,,,,,,,,,
814,kelas dengar kait orang tertawa,5,,,,,,,,,,
815,login gojek ya kode sms masuk jawab ar,1,,,,,,,,,,
816,jaman tongsamcong nyari kitab barat pakai gps bawa sun go kong ama kwn,5,,,,,,,,,,
817,samsung galaxy edge gb rp bergaransikondisi mulus like new lengkap serta dus nya j,0,,,,,,,,,,
818,jemput anter kang gojek,4,,,,,,,,,,
819,korea gojek,5,,,,,,,,,,
820,kali sejarah gojek fake order order barang bom dipickup bilang sel,2,,,,,,,,,,
821,ya semenjak update aplikasi driver tumpang titik lokasi gps terlih,3,,,,,,,,,,
822,tanding piala final limbe leaf wanderers silver strikers janji uang biaya masuk tonton tanding sayang,2,,,,,,,,,,
823,sistem rating gojek laku iya driver kena bawah rating putus mitra kasi driver,3,,,,,,,,,,
824,ancam atur gadis punk,1,,,,,,,,,,
825,puberty mamang gojek cici cici,0,,,,,,,,,,
826,sekolah tindak lawan hendak kelompok janji balas dendam,1,,,,,,,,,,
827,mao naek gojek neng maaf ya helm lembab hujan iya papagw pakai,2,,,,,,,,,,
828,iya ngebandingin zaman gojek gede bonus zaman kecil,3,,,,,,,,,,
829,kah,2,,,,,,,,,,
830,swasta ngasih duit csr brandingngarepin apbd harap dah,2,,,,,,,,,,
831,tim nya deteksi blokir akun pakai sih fine,2,,,,,,,,,,
832,tingkah laku orang pasu benarbenar jahat benci,4,,,,,,,,,,
833,marah teman baik pacar asing salah ubah pribadi pacar ubah sikap pacar sikap egois laku hilang salah sahabat pacar,2,,,,,,,,,,
834,ah mahal gojek,3,,,,,,,,,,
835,hujan perut makan paket spesial makan malam spesial dianterin mamang gojek,0,,,,,,,,,,
836,end goalnya kaya bisnis payment service gojek motor buka jalan,0,,,,,,,,,,
837,pasuk ruang operasi jalan operasi sulit,1,,,,,,,,,,
838,nunggu abang gojek ya kampus pribadi bisa sen gojek stay,3,,,,,,,,,,
839,memberitahu teman pukul temu,1,,,,,,,,,,
840,cetak gol tanding sepakbola,0,,,,,,,,,,
841,kirim pakai ya gojek susah grab susah kurir mogok please help,5,,,,,,,,,,
842,main hp pas gojek takut jambret main hp takut ngantuk oleng,1,,,,,,,,,,
843,jarang pakai go ride sadar tarif mahal,3,,,,,,,,,,
844,gojek kampret bgtga gocarnya goridenya,2,,,,,,,,,,
845,pie susu dhian kirim dgn gojek bekas harga murah invite pin c,0,,,,,,,,,,
846,argumen kembang cakap bersenangsenang,5,,,,,,,,,,
847,oke kakak otw gojek,0,,,,,,,,,,
848,tengkar serius orang sayang,2,,,,,,,,,,
849,gojek bawah umur,5,,,,,,,,,,
850,syarat cicil hp driver gojek motorola cplus,0,,,,,,,,,,
851,saudara teman sedih tahuntahun bebas kanakkanak kanakkanak,3,,,,,,,,,,
852,pilih kuliah bahasa inggris teman perempuan pilih,3,,,,,,,,,,
853,kadang buka app spotify gojek buka,5,,,,,,,,,,
854,buang cerai suami,5,,,,,,,,,,
855,liat apk gojek sih,0,,,,,,,,,,
856,layan selamat hidup jijik pasien tampil luar senang,4,,,,,,,,,,
857,sore pas sendal tukar hidup selamat mas gojek,0,,,,,,,,,,
858,tuh geser sarain doi gojek bawa papan hijab hehehe,0,,,,,,,,,,
859,kendara sepeda motor desa orang tatap seolaholah spesimen langka,5,,,,,,,,,,
860,wih mantap ya siang siang gin makan pletok enak banget bikin segar badan sambal nya mantep,0,,,,,,,,,,
861,uber gojekgocar grab kerja,5,,,,,,,,,,
862,ekor anjing gembala jerman lari salak pada gigit untung,1,,,,,,,,,,
863,tumblr lamp murah k pilih warna sambung male female kontrol cahaya,0,,,,,,,,,,
864,rumah teman kelas kelompok gadis garuk kaki meja,4,,,,,,,,,,
865,pasuk toilet bar bau,4,,,,,,,,,,
866,gojek babang grab,5,,,,,,,,,,
867,program tv rencana militer amerika utara startwar,1,,,,,,,,,,
868,jijik kotor,4,,,,,,,,,,
869,nikmat hidup burung makan siang taman kelompok orang lempar tongkat burung alas puas takut,2,,,,,,,,,,
870,joko driyono orang pssi milik saham besar persija jakarta baik taut ya,0,,,,,,,,,,
871,sepeda sekolah jatuh mobil ruang gerak,1,,,,,,,,,,
872,ya ampun,5,,,,,,,,,,
873,dengar bunuh perdana menteri india indira gandhi,4,,,,,,,,,,
874,gua order gojek dapet supir nyebelin jayus gua wajah penasaran polos,2,,,,,,,,,,
875,respon,5,,,,,,,,,,
876,diberitahu hadir operasi teater,1,,,,,,,,,,
877,tinggal sebentar marocco tinggal kapal feri spanyol cari akomodasi temu pria tawar bawa situs kemah duduk mobil takut dengar orang rampok marocco,1,,,,,,,,,,
878,nyari abang gojek trotoar trotoar penuh ama metro mini demo parkirterus metromini bua,3,,,,,,,,,,
879,asli jijik kang gojek oh kang gojek menit menit mbak suara berat,4,,,,,,,,,,
880,adil,2,,,,,,,,,,
881,dih anjeer gojek ngadmin genit,0,,,,,,,,,,
882,penipubilang eug juta gojek,2,,,,,,,,,,
883,emang ganti foto profil grab gojek,3,,,,,,,,,,
884,bgst ngakak mas gojek ngerem pelan nyungsep wkwk,2,,,,,,,,,,
885,bertahuntahun film psycho hitchcock kali film berani tidur tidur,1,,,,,,,,,,
886,tengkar sengit kasih niat meni tolak menang henti menang keluar,2,,,,,,,,,,
887,gede kek istana halaman rumah nya kek lapang golf mobil nya jarak gerba,5,,,,,,,,,,
888,modus tipu gojek driver jadikorban,1,,,,,,,,,,
889,pasien harap sembuh tibatiba tinggal makan,2,,,,,,,,,,
890,dengar mahasiswa pascasarjana bicara gadisgadis unsiutable obat,4,,,,,,,,,,
891,kayak tante kim tim uber neh yah duh tim gojek gabisa deh diant,4,,,,,,,,,,
892,join agen pulsa daftar gratisbisa dm langsung anak sekolah sambil le,0,,,,,,,,,,
893,woi tida tunggu gojek,0,,,,,,,,,,
894,demonstrasi panjat pintu utama bus tutup bus henti takut polisi,1,,,,,,,,,,
895,rekomendasi hp gojek dipakeseharian,0,,,,,,,,,,
896,celaka wanita lindas tinggal,1,,,,,,,,,,
897,abang main poloskalau jarak segitu moncer tuh akun ban,3,,,,,,,,,,
898,omo mahu masuk gojek,0,,,,,,,,,,
899,anak lakilaki bual mampu cerita lelucon kotor,4,,,,,,,,,,
900,personal tampil aplikasi gojek,0,,,,,,,,,,
901,dominasi orang ubah reaksi,4,,,,,,,,,,
902,uji temu hormat pikir senang jarang temu lupa,0,,,,,,,,,,
903,marah temanteman pacar,1,,,,,,,,,,
904,pisah tlah gojek grab,3,,,,,,,,,,
905,pria rendah pamer mobil lewat saputangan mulut,4,,,,,,,,,,
906,kemudi jalan bebas hambat sibuk jam sibuk hujan truk diesel jemput ubah jalur tabrak truk jalan honda jalan takut mati sebab jatuh,1,,,,,,,,,,
907,delivery fee gojek ngakal sih pakai gopay fee nya nyampe k mo beli rischoco ya,3,,,,,,,,,,
908,anterin nasi goreng ganteng dijadiin temen ganteng tetep anggap abang gojek order go food yak sip banget,0,,,,,,,,,,
909,daftar cicil motorola c plusgojek,0,,,,,,,,,,
910,ayah pukul sakit minggu sembuh,4,,,,,,,,,,
911,adminnya ayaoshi gojek terusmantap jeket,0,,,,,,,,,,
912,uji ambil,1,,,,,,,,,,
913,jalan pulang jumat hujan deras mobil bebas hilang kontak muka jalan detik,1,,,,,,,,,,
914,simpul ambil populasi driver gojek milik rating excellent,5,,,,,,,,,,
915,driver gojek pickup ya terima kasih aes,0,,,,,,,,,,
916,pusat service mod atomizer jakpus gojek fjbkaskus via fjbkaskusid,0,,,,,,,,,,
917,tv lapor gereja amerika pendeta mukjizat kamera jijik,4,,,,,,,,,,
918,tinggal depok masker jawab males ngambil bayar parkir kantor gojek depok mahal,2,,,,,,,,,,
919,biar ajak karakter ben gojek dracula,3,,,,,,,,,,
920,ambil darah pasien kira alkohol urin periksa buruk main sihir,1,,,,,,,,,,
921,enak grab uber gojek aspek ya harga layan driver dll gojek,0,,,,,,,,,,
922,takut mata anjing infeksi bermainmain rumput ekor rubah ekor kelopak mata bawa dokter hewan takut buta rubah ekor,1,,,,,,,,,,
923,siang uji jam bangun jam buahbatu bahan gasempet aing bacaniat prod,3,,,,,,,,,,
924,serius ken asa abang abang gojek helm dipentok pentokin helm tumpang ngantuk,5,,,,,,,,,,
925,gunain gojek online nder deeh gabisa tolong pacar,4,,,,,,,,,,
926,dengar program siar parapsikologi orangorang program katakata sulit paham tindak asa,4,,,,,,,,,,
927,lapor jadi senang nih sekian kali pesan mcdonald,2,,,,,,,,,,
928,kelompok tutorial bagi daftar nama mahasiswa kelompok seminar baca nama kelompok pergi ruang seminar bertanyatanya hadap hasil pimpin kelompok,1,,,,,,,,,,
929,harga gojek gocar dah angkot dkk gojekindonesia,3,,,,,,,,,,
930,kantor aplikasi tolak interpretasi atur teliti,2,,,,,,,,,,
931,malam kantor telepon tibatiba dering,1,,,,,,,,,,
932,temu teman halte bus unjung muncul tunggu jam panggil diberitahu niat lelah,2,,,,,,,,,,
933,ajak tidur dadak neng aspal karo gojek,0,,,,,,,,,,
934,liput khusus polemik larang gps kendara driver ojol gojek via youtube,5,,,,,,,,,,
935,polisi tidur posisi salah motor abang gojek,3,,,,,,,,,,
936,gojek grab kolaborasi antar rumah kali pesan taksi online,3,,,,,,,,,,
937,sakit parah takut tinggal,1,,,,,,,,,,
938,bdjjajdjkakd telpon abang gojek ringtone aiiyl temen yaampunwibu korea,5,,,,,,,,,,
939,ajar hidup abang gojek malam salut komitmen masuk gojek ajar sabar,0,,,,,,,,,,
940,pergi gelap,1,,,,,,,,,,
941,sore habis abang gojek bawa makan,0,,,,,,,,,,
942,lhoh bodoh login gojek nomer associated akun gojek expired,5,,,,,,,,,,
943,kasus kaya gojek cs vs bluebird bluebird perkasa lawan operator taksi pas ngelawan teknologi mendem,4,,,,,,,,,,
944,order sepi driver gojek cobaini,3,,,,,,,,,,
945,selamat cari uang grab gojek betapa sulit cari uang,2,,,,,,,,,,
946,lapor tulis baca buku gelisah hasil,5,,,,,,,,,,
947,bang gojek ya,0,,,,,,,,,,
948,langsung ditelponsms abang gojek tanggap ya,1,,,,,,,,,,
949,jalan jalan selip kotor anjing jatuh jijik bau busuk telapak tangan,4,,,,,,,,,,
950,kesi gojek,3,,,,,,,,,,
951,admin nadia mahasiswi unjani wawancara proses bisnis gojek bandung ya,1,,,,,,,,,,
952,dengar lantai retak pikir curi rumah sembunyi selimut gemetar,1,,,,,,,,,,
953,kali ayah pulang rumah mabuk aniaya fisik,4,,,,,,,,,,
954,habis kena hack tipu akun gojek admin kronologi sms gojek pin rahasia abis tl,2,,,,,,,,,,
955,tes lisan bahasa maori yeaterday ajar intens ruang uji gagal gugup mudah kosong,1,,,,,,,,,,
956,pergi temu keluarga pacar pesta rumah ibu kenal temantemannya lelucon situasi,5,,,,,,,,,,
957,takut kurang kuat pribadi,1,,,,,,,,,,
958,bykamppling trjdi gojek mnimpa drver ktika prforma bgus mlai muncul ordr fiktif telepon invalid,2,,,,,,,,,,
959,pagi dingin gojek stasiun jaketsweater pulang sore ujanan parka huhu bawa,3,,,,,,,,,,
960,hadap polisi malam jam takut ancam bawa gadis tiang gantung,1,,,,,,,,,,
961,makan buruk ruang makan siswa,2,,,,,,,,,,
962,bad day kena tilang kena omel dosen dapet driver gojek ngeselin dapet luka gatau,3,,,,,,,,,,
963,muak tengkar orang meni anakanak libat tuduh salah orangtua,4,,,,,,,,,,
964,tibatiba telepon kantor mba tampil gojek ubah ngecek history bikin pera,3,,,,,,,,,,
965,woe bodat gojek orang untung tuju,2,,,,,,,,,,
966,pas pas hati nya orang mbakaku nggak ngomongi pasu,4,,,,,,,,,,
967,males menggadapi macet menit kaya enak nih flip burger order gojek k pim duhh,0,,,,,,,,,,
968,peristiwa tindak adil,5,,,,,,,,,,
969,ayah telepon pulang libur milik rawat kebun binatang,2,,,,,,,,,,
970,nunggu situ tuh abang gojek doi jam ya random ngobrol,3,,,,,,,,,,
971,malu tubuh indah pacar anggap cantik,5,,,,,,,,,,
972,selamat ulang,0,,,,,,,,,,
973,kyaknya konsumen pms wkwkwkwkwkwk,0,,,,,,,,,,
974,malam rumah anggota keluarga kumpul ketuk pintu penuh semangat,1,,,,,,,,,,
975,ngeri bawak motortukang gojek tangan kiri megang hp tangan kanan megang stir mo,5,,,,,,,,,,
976,gagal kelas kali lulus tiga kali,4,,,,,,,,,,
977,oh ya denger sempet tentang gojek aslik ken explore luas bang,3,,,,,,,,,,
978,kemarin order gojek free classic burgernya,3,,,,,,,,,,
979,urung niat daftar gojek nyata pahit,3,,,,,,,,,,
980,ambil untung luka individu relatif daya sadar jijik campur amarah lantai asrama verbal serang orang milik yakin agama,4,,,,,,,,,,
981,gojek pelit ya voucher gofood nggak voucher delivery nya nariknapaspanjang,3,,,,,,,,,,
982,rumah tibatiba sehat bantu panggil first aid,1,,,,,,,,,,
983,loh reply sangkal bilang gojek grab nyediain asuransi,5,,,,,,,,,,
984,temu istri hamil,0,,,,,,,,,,
985,laku tiri,2,,,,,,,,,,
986,anak injak paku karat diberitahu tetanus,1,,,,,,,,,,
987,myqri,0,,,,,,,,,,
988,lelaki mabuk temu malam perilaku ajar gadisgadis diri dekat,4,,,,,,,,,,
989,jalan jalan sore orang jalan orang ikut abai tibatiba salah bahasa kotor leceh marah balas,2,,,,,,,,,,
990,pulang rumah libur tenggelam sungai zambezi,1,,,,,,,,,,
991,admin mo komplain mesen gojek maps gojek nya cancel eh driver nya,2,,,,,,,,,,
992,jijik akibat salah uji semester pikir hasil harap,4,,,,,,,,,,
993,memberitahu teman orang tua laku saudara saudari adil,5,,,,,,,,,,
994,jijik dengar orang laku manusiawi siksa cabai,4,,,,,,,,,,
995,akuuntuk otakpesan sehat tagih uang gojek tos bapak,5,,,,,,,,,,
996,gempa menit lantai delapan,1,,,,,,,,,,
997,gojek pasti milik data driver lengkap alamat ktp bisa usut gojekindonesia,3,,,,,,,,,,
998,juru bicara serikat kerja libat tengkar rekan kerja tindak sesuai atur periode lanjut,2,,,,,,,,,,
999,alami nenek ibu tinggal orang tua tinggal dunia,3,,,,,,,,,,
1000,buat takut gelap,1,,,,,,,,,,
1001,ampo sedih,4,,,,,,,,,,
1002,mending gojek grab uber mobilmotorsharing yaaaaaaaaa grab mobilampmotor,0,,,,,,,,,,
1003,jijik orang paham salah paham,4,,,,,,,,,,
1004,hadir temu jaga toko mati toko tembak senapan jarak,4,,,,,,,,,,
1005,buang air tikar alihalih pispot,5,,,,,,,,,,
1006,milik temen ketemu bikin lupa sepele contoh ngampus bawa motor ya un,5,,,,,,,,,,
1007,buka aplikasi gojek pas cek dompet rebu,0,,,,,,,,,,
1008,malam teman cerita kisah takut anggap serius takut,1,,,,,,,,,,
1009,pacar nama gadis gadis milik milik,2,,,,,,,,,,
1010,tentara hidang makan malam suka wajib makan lapar,4,,,,,,,,,,
1011,kk status transaksi gg proses tolong batalim butuh brmgnya cepat pakai gojek,4,,,,,,,,,,
1012,mohon konfirmasi gojek mohon ditindakla,1,,,,,,,,,,
1013,gabung kelompok pemuda amat urus komunitas milik sempat hubung perintah anggota komite dewan distrik struktur eksekutif lokal usaha konsultasi diskus temu orangorang paham urus masyarakat kurang antusiasme urus lokal erti putus pimpin komunitas,4,,,,,,,,,,
1014,proposal cinta tolak wanita cinta,5,,,,,,,,,,
1015,surge pricing gojek hujan jadi hujanhujanan,0,,,,,,,,,,
1016,candu alkohol giring bola konter makan,4,,,,,,,,,,
1017,gagal motor kapal gottenburg laut berat angin kuat arah perahu hanyut arah bebatuan hasil tarik perhati pejal kaki jam,1,,,,,,,,,,
1018,jijik pergi tempat mayat kamar mayat mayat temu letak tubuh,4,,,,,,,,,,
1019,jalan ladang milik kotor,4,,,,,,,,,,
1020,siang kebun temu jiwa kadal tangan,4,,,,,,,,,,
1021,join agen pulsa daftar gratis,0,,,,,,,,,,
1022,twt pakai paket unlimited app nya indosat bhahaha buka app line twt goj,3,,,,,,,,,,
1023,teman temu mabuk,4,,,,,,,,,,
1024,nieghbour pintu lari kucing jalan masuk coba selesai sekop datar bawa kucing dokter hewan bunuh manusia sembuh,4,,,,,,,,,,
1025,rain ya susah pulang anak gojek,3,,,,,,,,,,
1026,mas gojek nya nyebelin yaahh maju duluan,2,,,,,,,,,,
1027,pacar temanteman jatuh licin benarbenar malu,5,,,,,,,,,,
1028,acau kamar,4,,,,,,,,,,
1029,pulang rumah temu saudara perempuan pinjam mobil alami celaka mobil bumper hancur,2,,,,,,,,,,
1030,gojek drivernya banyak alam komunikasi bagus gopay grab driverny,0,,,,,,,,,,
1031,ngundang personil westlife panggung idol upnormal anti gojek resto fancy tuxedo,5,,,,,,,,,,
1032,pacar sentuh payudara baju celana,5,,,,,,,,,,
1033,turun kudu gojek dl,0,,,,,,,,,,
1034,sorry brow gamau ngajak takut abis gojek gocek,3,,,,,,,,,,
1035,mitra gojek cancel order daerah pondok indah hubung payah,2,,,,,,,,,,
1036,kali bawa ruang seksi temu mayat manusia mati,1,,,,,,,,,,
1037,pakai jasa gojek driver chat nya warna biru,5,,,,,,,,,,
1038,sedih pacar selesai hubung,3,,,,,,,,,,
1039,lucu gaes bct umm gojek u know sik bct sisih endi lelah jalan kaki menit,3,,,,,,,,,,
1040,duduk uji masuk takut gagal,1,,,,,,,,,,
1041,bapake pulang luar hujan gofood kasi gojek ken pedes masukin isi kulkas teflon baladoin,0,,,,,,,,,,
1042,dohh lupa gua helm gojek,0,,,,,,,,,,
1043,driver gojek hp tinggal helm balikin gilaaa,5,,,,,,,,,,
1044,jalan malam api gantung udara bagi segmen lihat duga sihir,1,,,,,,,,,,
1045,gojek lamaaaaa laper,3,,,,,,,,,,
1046,gojek galau siang anter paket polri lepas jaket uang cashnya sanasi terima bayar rb,3,,,,,,,,,,
1047,libur musim panas teman sekolah kelas pergi inggris pergi temanteman kelas kenal dengan milik bbq pantai orang teman orang pergi orang main mahjong main bridge hubung makan bicara temanteman kelas milik sopan dengar hati bicara cakap tentang teman kelas,4,,,,,,,,,,
1048,selam laut capai lantai sesak napas berhatihati ragu muncul muka tarik napas,1,,,,,,,,,,
1049,jam susah dapet gojek hvft,3,,,,,,,,,,
1050,hyung nunggu gojek gojek ya wk,0,,,,,,,,,,
1051,pria adil pacar,4,,,,,,,,,,
1052,tentara teman kamar cuti ancam orang bilah pisau,1,,,,,,,,,,
1053,naya pura bersin hatchi sampe,2,,,,,,,,,,
1054,pas gojek sepi shaytilpun dmnmba rumah jl kenanga cendana kenanga paoh,0,,,,,,,,,,
1055,laku adil bandara diberitahu hitung beda lintas domestik,2,,,,,,,,,,
1056,motor ngomongsilakan mbak wow asa taksi kali,0,,,,,,,,,,
1057,yaelahhh plzzz perak kak kirim pakai gojek duit kak hahaha,5,,,,,,,,,,
1058,nilai orang tua kabar sekolah nilai bagus hebat baik malu,5,,,,,,,,,,
1059,seberang jalan injak mobil,1,,,,,,,,,,
1060,bilang orang arab driver gojek nganu bintang kali,2,,,,,,,,,,
1061,selang gojek jual saham bursa gojek ipo startup saham,4,,,,,,,,,,
1062,takut tinggal tinggal rumah,1,,,,,,,,,,
1063,nilai rendah matematika,5,,,,,,,,,,
1064,ajar anatomi,4,,,,,,,,,,
1065,ogah kopaja ato metro mini brngkt kerja pakai males pakai gojek mahal,2,,,,,,,,,,
1066,tidur cek pintu amp pagar kunci gembokjendela diselotkompor matiubergrabgo,0,,,,,,,,,,
1067,gojek font sang desainer free download via desain,0,,,,,,,,,,
1068,mesen gojek dapet driver nya ibuibu sedih banget nya ganti bawa gabisa bawa motor,3,,,,,,,,,,
1069,iya maklum ngayal mah tlt diitung br sih ya emg sadis guru gin tu,1,,,,,,,,,,
1070,poin gantung gojek jam idak masuk,2,,,,,,,,,,
1071,risiko temu kelahi pesta,1,,,,,,,,,,
1072,abang gojek bilang sedia menungguh kah ka lumayan rame ku sangka maksud jam,2,,,,,,,,,,
1073,malam senang temanteman apartemen salah pergi tidur jatuh cinta pada sepi,4,,,,,,,,,,
1074,batal dehnanti suruh ganti gojek,3,,,,,,,,,,
1075,tampil gojek gin ya order,5,,,,,,,,,,
1076,gojekgrab tembus poin hari dapet bonus rb uang tumpang,5,,,,,,,,,,
1077,tekan tiket bus milik kartu si tarik tiket lupa malu rasa bagus sengaja,5,,,,,,,,,,
1078,teriak tuduh alas,4,,,,,,,,,,
1079,takut kemudi kursi khusus sepeda motor rekanrekan percaya lampau batas ukur lintas korban utama orang duduk kemudi,1,,,,,,,,,,
1080,bilang kerja gin emang berat awal bawa sepeda sepe,3,,,,,,,,,,
1081,tanding sepak bola main keringat kuat lari arah,4,,,,,,,,,,
1082,atur aplikasi sih dhi mis gojek bonus rbhari pen,0,,,,,,,,,,
1083,barusan liat nenenin bayi motor jalan baju dinaikin sampe hadeh,4,,,,,,,,,,
1084,rusak putar radio paman sengaja khawatir potong pergi rumah main,1,,,,,,,,,,
1085,okeeey kokas stasiun manggarai bisa gojek cuman k,3,,,,,,,,,,
1086,tangkap preman usia serah properti milik takut,1,,,,,,,,,,
1087,pria suka mabuk coba aniaya,4,,,,,,,,,,
